권역,SIG_CD,SIDO,시군구,OB_2024,OBz,OB_EHSA,OW_2024,OWz,OW_EHSA,CNT_2024,CNTz,CNT_EHSA
전국,11010,서울,종로구,6.0,-2.95,Sporadic Cold,12.0,-2.79,Consecutive Cold,19,0.87,No Pattern
전국,11020,서울,중구,6.8,-3.62,Intensifying Cold,13.8,-3.59,Consecutive Cold,25,-1.13,No Pattern
전국,11030,서울,용산구,6.1,-4.27,Intensifying Cold,13.9,-4.38,Intensifying Cold,39,-0.35,No Pattern
전국,11040,서울,성동구,5.9,-3.28,Intensifying Cold,12.4,-3.33,Consecutive Cold,62,-0.46,No Pattern
전국,11050,서울,광진구,9.8,-2.8,Sporadic Cold,16.9,-2.75,Sporadic Cold,96,1.54,No Pattern
전국,11060,서울,동대문구,7.3,-2.18,Consecutive Cold,15.8,-2.15,Consecutive Cold,94,1.12,No Pattern
전국,11070,서울,중랑구,8.9,-2.29,Consecutive Cold,17.7,-2.17,Consecutive Cold,121,1.47,No Pattern
전국,11080,서울,성북구,7.0,-2.75,Sporadic Cold,15.0,-2.71,Consecutive Cold,113,1.66,No Pattern
전국,11090,서울,강북구,7.4,-1.54,No Pattern,18.0,-1.51,No Pattern,61,1.73,No Pattern
전국,11100,서울,도봉구,10.0,-1.24,No Pattern,18.6,-1.27,No Pattern,100,1.9,No Pattern
전국,11110,서울,노원구,8.2,-2.23,Sporadic Cold,15.4,-2.1,Consecutive Cold,135,3.47,Persistent Hot
전국,11120,서울,은평구,8.1,-2.4,Consecutive Cold,15.5,-2.29,Consecutive Cold,135,1.11,No Pattern
전국,11130,서울,서대문구,4.9,-2.97,Consecutive Cold,13.2,-2.86,Sporadic Cold,58,-0.11,No Pattern
전국,11140,서울,마포구,6.4,-3.47,Intensifying Cold,13.2,-3.31,Consecutive Cold,80,0.29,No Pattern
전국,11150,서울,양천구,6.5,-2.34,Sporadic Cold,13.6,-2.28,Consecutive Cold,91,3.07,No Pattern
전국,11160,서울,강서구,7.9,-2.56,Sporadic Cold,16.0,-2.56,Consecutive Cold,161,3.76,Intensifying Hot
전국,11170,서울,구로구,7.7,-2.2,Sporadic Cold,15.2,-2.1,Sporadic Cold,136,4.0,Persistent Hot
전국,11180,서울,금천구,11.4,-1.68,No Pattern,22.1,-1.57,No Pattern,84,1.53,No Pattern
전국,11190,서울,영등포구,6.2,-3.88,Intensifying Cold,15.7,-3.87,Intensifying Cold,100,1.67,No Pattern
전국,11200,서울,동작구,6.5,-3.62,Intensifying Cold,15.8,-3.67,Intensifying Cold,86,0.34,No Pattern
전국,11210,서울,관악구,8.6,-3.67,Persistent Cold,16.2,-3.67,Persistent Cold,101,0.09,No Pattern
전국,11220,서울,서초구,5.6,-4.53,Intensifying Cold,13.0,-4.7,Intensifying Cold,77,-0.36,No Pattern
전국,11230,서울,강남구,5.8,-3.48,Intensifying Cold,12.2,-3.82,Intensifying Cold,90,0.71,No Pattern
전국,11240,서울,송파구,6.2,-2.96,Consecutive Cold,13.9,-3.11,Consecutive Cold,165,1.45,No Pattern
전국,11250,서울,강동구,7.7,-2.47,Sporadic Cold,16.1,-2.43,Consecutive Cold,165,1.34,No Pattern
전국,21010,부산,중구,18.5,0.48,No Pattern,25.9,0.67,No Pattern,10,-2.13,Sporadic Cold
전국,21020,부산,서구,9.3,0.08,No Pattern,17.3,0.35,No Pattern,30,-0.8,No Pattern
전국,21030,부산,동구,7.9,-0.21,No Pattern,13.6,-0.1,No Pattern,22,-1.05,No Pattern
전국,21040,부산,영도구,12.7,0.13,No Pattern,22.4,0.37,No Pattern,38,-1.42,No Pattern
전국,21050,부산,부산진구,8.3,-1.32,No Pattern,17.5,-1.14,No Pattern,121,-0.23,No Pattern
전국,21060,부산,동래구,8.7,-2.49,Sporadic Cold,16.7,-2.4,Sporadic Cold,117,0.3,No Pattern
전국,21070,부산,남구,8.5,-1.13,No Pattern,18.6,-0.77,No Pattern,83,-0.72,No Pattern
전국,21080,부산,북구,8.5,-2.12,No Pattern,18.6,-1.98,No Pattern,103,2.09,Sporadic Hot
전국,21090,부산,해운대구,8.7,-2.17,Sporadic Cold,17.8,-2.14,No Pattern,127,0.09,No Pattern
전국,21100,부산,사하구,12.6,-0.65,No Pattern,22.4,-0.39,No Pattern,144,0.05,No Pattern
전국,21110,부산,금정구,7.4,-2.34,Persistent Cold,17.0,-2.35,No Pattern,48,1.15,No Pattern
전국,21120,부산,강서구,9.6,-1.52,No Pattern,17.7,-1.25,No Pattern,127,2.54,Diminishing Hot
전국,21130,부산,연제구,7.3,-1.91,Sporadic Cold,15.7,-1.68,No Pattern,69,0.07,No Pattern
전국,21140,부산,수영구,8.5,-1.77,Consecutive Cold,19.1,-1.52,No Pattern,51,0.17,No Pattern
전국,21150,부산,사상구,11.9,-1.16,No Pattern,19.1,-0.94,No Pattern,87,0.53,No Pattern
전국,21510,부산,기장군,9.6,-1.47,No Pattern,18.4,-1.51,No Pattern,110,1.33,No Pattern
전국,22010,대구,중구,6.8,0.23,No Pattern,14.4,0.53,No Pattern,35,0.42,No Pattern
전국,22020,대구,동구,9.5,0.38,No Pattern,17.1,0.91,No Pattern,147,0.22,No Pattern
전국,22030,대구,서구,12.9,0.32,No Pattern,21.2,0.52,No Pattern,62,1.47,No Pattern
전국,22040,대구,남구,9.8,-0.67,No Pattern,19.6,-0.24,No Pattern,39,0.62,No Pattern
전국,22050,대구,북구,10.2,0.63,No Pattern,20.2,0.66,No Pattern,184,0.68,No Pattern
전국,22060,대구,수성구,9.1,-0.3,No Pattern,17.2,-0.01,No Pattern,131,0.58,No Pattern
전국,22070,대구,달서구,9.6,1.4,No Pattern,18.2,1.62,No Pattern,199,0.26,No Pattern
전국,22510,대구,달성군,11.8,2.41,No Pattern,21.1,2.72,No Pattern,226,0.15,No Pattern
전국,22520,대구,군위군,9.1,1.17,Sporadic Hot,13.6,2.22,Sporadic Hot,2,-0.79,No Pattern
전국,23010,인천,중구,10.5,0.97,New Hot,20.7,1.27,No Pattern,100,-0.52,No Pattern
전국,23020,인천,동구,11.7,-0.1,No Pattern,22.4,0.05,No Pattern,24,1.9,Sporadic Hot
전국,23040,인천,연수구,7.9,-0.62,No Pattern,16.0,-0.62,No Pattern,172,3.32,Persistent Hot
전국,23050,인천,남동구,10.5,-0.97,No Pattern,19.1,-0.99,No Pattern,219,6.47,Intensifying Hot
전국,23060,인천,부평구,9.7,-1.13,No Pattern,18.1,-1.17,No Pattern,212,6.18,Persistent Hot
전국,23070,인천,계양구,10.9,-1.62,No Pattern,20.0,-1.61,No Pattern,101,4.56,Intensifying Hot
전국,23080,인천,서구,8.6,-0.31,No Pattern,16.6,-0.34,No Pattern,350,3.64,Persistent Hot
전국,23090,인천,미추홀구,12.3,-0.46,No Pattern,22.1,-0.33,No Pattern,216,1.91,No Pattern
전국,23510,인천,강화군,15.3,-0.24,No Pattern,26.6,-0.38,No Pattern,23,2.35,Sporadic Hot
전국,23520,인천,옹진군,22.2,0.9,New Hot,25.9,1.14,No Pattern,12,-0.42,No Pattern
전국,24010,광주,동구,8.2,0.21,No Pattern,16.2,0.16,No Pattern,40,0.28,No Pattern
전국,24020,광주,서구,10.6,-0.24,No Pattern,21.0,-0.01,No Pattern,116,3.24,Diminishing Hot
전국,24030,광주,남구,11.5,0.07,No Pattern,20.7,0.03,No Pattern,103,0.64,No Pattern
전국,24040,광주,북구,9.6,0.5,No Pattern,18.5,0.41,No Pattern,182,0.7,No Pattern
전국,24050,광주,광산구,11.6,-0.07,No Pattern,19.8,-0.07,No Pattern,241,1.19,No Pattern
전국,25010,대전,동구,10.8,1.94,No Pattern,19.1,1.45,No Pattern,90,-0.81,No Pattern
전국,25020,대전,중구,10.4,0.75,No Pattern,18.2,0.49,No Pattern,79,0.83,No Pattern
전국,25030,대전,서구,8.5,0.02,No Pattern,17.7,-0.26,No Pattern,169,0.22,No Pattern
전국,25040,대전,유성구,7.0,-1.47,New Cold,15.4,-1.96,No Pattern,157,0.91,No Pattern
전국,25050,대전,대덕구,11.9,-0.83,No Pattern,21.0,-1.21,No Pattern,65,1.82,No Pattern
전국,26010,울산,중구,10.7,0.01,No Pattern,21.3,0.09,No Pattern,110,1.46,No Pattern
전국,26020,울산,남구,9.0,0.07,No Pattern,18.0,0.09,No Pattern,121,1.39,No Pattern
전국,26030,울산,동구,11.5,-0.02,No Pattern,19.9,0.05,No Pattern,96,1.28,No Pattern
전국,26040,울산,북구,11.1,0.31,No Pattern,19.5,0.45,No Pattern,180,1.53,No Pattern
전국,26510,울산,울주군,13.9,0.34,No Pattern,24.0,0.68,No Pattern,146,1.02,No Pattern
전국,29010,세종,세종시,5.4,-1.46,No Pattern,12.7,-2.03,No Pattern,186,1.6,No Pattern
전국,31011,경기,수원시 장안구,9.3,-3.22,Persistent Cold,17.5,-3.44,Intensifying Cold,98,0.91,No Pattern
